path,section,width,height,orientation,hero_capable,bytes
athens/acropolis-parthenon.jpg,athens,915,641,landscape,False,111700
athens/fs-astir-palace-hotel-athens-aerial.jpg,athens,915,1004,portrait,False,188592
athens/porch-of-the-caryatids-sunset.jpg,athens,720,1128,portrait,False,115035
cairo/lunch-terrace-overlooking-pyramids.jpg,cairo,915,641,landscape,False,85029
cairo/pyramid-of-giza-aerial.jpg,cairo,721,1128,portrait,False,166720
cairo/pyramids-of-giza.jpg,cairo,915,1004,portrait,False,128360
cairo/sphinx-of-giza.jpg,cairo,722,1126,portrait,False,108251
jet/cabin-dining-beverage-service.jpg,jet,915,1655,portrait,False,75963
jet/cabin-italian-leather-flatbed-seats.jpg,jet,721,1126,portrait,False,43165
jet/guests-boarding-jet-greeting.jpg,jet,2555,1655,landscape,True,177591
jet/jet-exterior-a321neo-runway-sunset.jpg,jet,2555,1655,landscape,True,140146
jet/model-jet-your-journey-begins.jpg,jet,2010,1655,landscape,True,106879
johannesburg/fs-westcliff-hotel-pool.jpg,johannesburg,721,1128,portrait,False,109583
johannesburg/fs-westcliff-outdoor-terrace.jpg,johannesburg,915,641,landscape,False,93295
johannesburg/lion-and-game-drive-vehicles.jpg,johannesburg,915,1002,portrait,False,89751
lifestyle/beach-firepit-gathering-mauritius.jpg,lifestyle,915,1655,portrait,False,100655
lifestyle/cover-serengeti-giraffe-zebra-game-drive.jpg,lifestyle,1280,1656,portrait,False,191825
lifestyle/game-drive-vehicle-dust-golden-hour.jpg,lifestyle,2036,1653,landscape,True,213728
luxor/felucca-sailboat-nile-sunset.jpg,luxor,722,1128,portrait,False,64633
luxor/karnak-temple-columns-ramesses-SPREAD.jpg,luxor,2986,1559,landscape,True,521755
luxor/luxor-temple-colonnade-statues.jpg,luxor,915,1004,portrait,False,119269
luxor/valley-of-the-kings-tomb-corridor.jpg,luxor,915,641,landscape,False,122004
mauritius/fs-resort-mauritius-anahita-villa-pool.jpg,mauritius,915,1004,portrait,False,188138
mauritius/ile-aux-cerfs-golf-club-aerial.jpg,mauritius,722,1124,portrait,False,131717
mauritius/snorkelling-reef-marine-life.jpg,mauritius,915,639,landscape,False,82866
rwanda/mountain-gorilla-family.jpg,rwanda,915,641,landscape,False,61017
rwanda/mountain-gorilla-portrait.jpg,rwanda,915,1004,portrait,False,66222
rwanda/traditional-intore-performers.jpg,rwanda,721,1128,portrait,False,88394
rwanda/volcanoes-national-park-virunga.jpg,rwanda,915,641,landscape,False,49620
serengeti/elephants-at-watering-hole.jpg,serengeti,915,1002,portrait,False,99163
serengeti/fs-safari-lodge-serengeti-lounge-interior.jpg,serengeti,915,641,landscape,False,94269
serengeti/fs-safari-lodge-serengeti-pool-deck-sunset.jpg,serengeti,721,1126,portrait,False,83655
serengeti/hot-air-balloon-serengeti-dawn.jpg,serengeti,915,1004,portrait,False,51245
serengeti/hot-air-balloons-serengeti.jpg,serengeti,721,1126,portrait,False,105397
